id,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
1,TAMIL NADU,ARIYALUR,2020,20,20,3,51,5,18,0
2,TAMIL NADU,CHENNAI,2020,79,44,22,77,125,232,0
3,TAMIL NADU,COIMBATORE,2020,11,12,5,35,7,85,0
4,TAMIL NADU,CUDDALORE,2020,34,105,19,15,1,59,0
5,TAMIL NADU,DHARMAPURI,2020,18,64,0,47,1,57,0
6,TAMIL NADU,DINDIGUL,2020,20,52,5,48,2,121,0
7,TAMIL NADU,ERODE,2020,13,37,4,39,7,22,0
8,TAMIL NADU,KANCHIPURAM,2020,21,25,5,27,6,29,0
9,TAMIL NADU,KANYAKUMARI,2020,14,53,7,9,139,94,0
10,TAMIL NADU,KARUR,2020,10,58,3,23,5,26,0
11,TAMIL NADU,KRISHNAGIRI,2020,14,56,10,35,5,32,0
12,TAMIL NADU,MADURAI,2020,9,20,9,24,8,73,0
13,TAMIL NADU,NAGAPATTINAM,2020,16,34,8,44,29,16,0
14,TAMIL NADU,NAMAKKAL,2020,11,57,4,60,15,18,0
15,TAMIL NADU,NILGIRIS,2020,9,11,1,11,6,8,0
16,TAMIL NADU,PERAMBALUR,2020,10,27,5,20,0,7,0
17,TAMIL NADU,PUDUKOTTAI,2020,9,43,1,28,4,22,0
18,TAMIL NADU,RAMNATHAPURAM,2020,9,54,5,16,2,12,0
19,TAMIL NADU,SALEM,2020,39,104,6,112,2,55,0
20,TAMIL NADU,SIVAGANGAI,2020,7,33,4,36,5,45,0
21,TAMIL NADU,THANJAVUR,2020,12,46,3,79,1,15,0
22,TAMIL NADU,THENI,2020,24,82,15,43,2,91,0
23,TAMIL NADU,THIRUNELVELI,2020,11,17,1,11,2,5,0
24,TAMIL NADU,THIRUVALLUR,2020,10,12,10,6,4,16,0
25,TAMIL NADU,THIRUVANNAMALAI,2020,26,61,7,14,1,14,0
26,TAMIL NADU,THIRUVARUR,2020,7,22,5,11,0,8,0
27,TAMIL NADU,THOOTHUGUDI,2020,31,39,6,6,1,43,0
28,TAMIL NADU,TIRUPPUR,2020,12,45,12,46,0,92,0
29,TAMIL NADU,TRICHY,2020,8,24,5,19,30,30,0
30,TAMIL NADU,VELLORE,2020,28,82,9,31,1,47,0
31,TAMIL NADU,VILLUPURAM,2020,89,191,10,278,2,143,0
