id,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
535,"TAMIL NADU","ARIYALUR",2010,9,16,7,40,6,12,0
536,"TAMIL NADU","CHENGAI",2010,24,11,19,61,10,61,0
537,"TAMIL NADU","CHENNAI",2010,31,0,15,72,213,115,0
538,"TAMIL NADU","CHENNAI RLY.",2010,1,1,0,9,0,6,0
539,"TAMIL NADU","COIMBATORE RURAL",2010,22,31,18,77,28,51,0
540,"TAMIL NADU","COIMBATORE URBAN",2010,8,13,9,22,41,32,0
541,"TAMIL NADU","CUDDALORE",2010,18,6,11,139,53,24,0
542,"TAMIL NADU","DHARMAPURI",2010,21,32,10,67,10,22,0
543,"TAMIL NADU","DINDIGUL",2010,17,37,11,51,14,12,5
544,"TAMIL NADU","ERODE",2010,12,17,6,74,20,27,0
545,"TAMIL NADU","KANCHIPURAM",2010,24,12,10,34,12,15,9
546,"TAMIL NADU","KANYAKUMARI",2010,10,12,7,29,174,32,0
547,"TAMIL NADU","KARUR",2010,7,10,5,24,5,16,0
548,"TAMIL NADU","MADURAI RURAL",2010,15,25,7,54,11,71,0
549,"TAMIL NADU","MADURAI URBAN",2010,4,20,14,24,55,27,0
550,"TAMIL NADU","NAGAPATTINAM",2010,15,27,8,58,16,10,0
551,"TAMIL NADU","NAMAKKAL",2010,9,19,7,41,15,22,0
552,"TAMIL NADU","NILGIRIS",2010,10,9,4,8,7,18,0
553,"TAMIL NADU","PERAMBALUR",2010,5,13,2,22,1,16,0
554,"TAMIL NADU","PUDUKOTTAI",2010,8,27,5,35,8,29,0
555,"TAMIL NADU","RAMNATHAPURAM",2010,15,19,7,63,15,18,0
556,"TAMIL NADU","SALEM RURAL",2010,10,31,12,56,10,11,0
557,"TAMIL NADU","SALEM URBAN",2010,4,13,7,11,16,14,0
558,"TAMIL NADU","SIVAGANGAI",2010,8,12,7,19,4,12,0
559,"TAMIL NADU","THANJAVUR",2010,1,36,1,57,50,35,0
560,"TAMIL NADU","THENI",2010,6,9,7,32,10,13,0
561,"TAMIL NADU","THIRUNELVELI RURAL",2010,60,55,5,157,65,16,0
562,"TAMIL NADU","THIRUNELVELI URBAN",2010,7,13,1,6,24,9,0
563,"TAMIL NADU","THIRUVALLUR",2010,19,15,8,72,21,20,0
564,"TAMIL NADU","THIRUVANNAMALAI",2010,7,35,3,55,11,21,0
565,"TAMIL NADU","THIRUVARUR",2010,9,30,6,54,20,5,0
566,"TAMIL NADU","THOOTHUGUDI",2010,16,0,4,98,51,39,0
567,"TAMIL NADU","TRICHY RLY.",2010,1,2,2,0,5,2,0
568,"TAMIL NADU","TRICHY RURAL",2010,10,19,5,25,7,5,0
569,"TAMIL NADU","TRICHY URBAN",2010,8,9,7,11,53,22,0
570,"TAMIL NADU","VELLORE",2010,17,1,12,58,20,7,0
571,"TAMIL NADU","VILLUPURAM",2010,41,39,16,81,24,44,0
572,"TAMIL NADU","VIRUDHUNAGAR",2010,21,23,6,84,13,24,0
573,"TAMIL NADU","TOTAL",2010,426,611,194,1776,1016,818,14
1252,"TAMIL NADU","CHENGAI",2011,30,32,32,73,28,93,0
1253,"TAMIL NADU","CHENNAI",2011,30,25,22,63,943,110,0
1254,"TAMIL NADU","CHENNAI RLY.",2011,0,1,0,5,2,2,0
1255,"TAMIL NADU","COIMBATORE RURAL",2011,28,32,24,83,28,76,0
1256,"TAMIL NADU","COIMBATORE URBAN",2011,6,8,10,16,18,31,0
1257,"TAMIL NADU","CUDDALORE",2011,30,40,13,112,25,30,0
1258,"TAMIL NADU","DHARMAPURI",2011,23,26,18,64,11,34,0
1259,"TAMIL NADU","DINDIGUL",2011,17,27,4,36,46,26,0
1260,"TAMIL NADU","ERODE",2011,17,31,7,71,10,35,0
1261,"TAMIL NADU","KANCHIPURAM",2011,22,1,12,44,19,16,0
1262,"TAMIL NADU","KANYAKUMARI",2011,12,13,6,46,86,31,0
1263,"TAMIL NADU","KARUR",2011,13,19,5,12,5,27,0
1264,"TAMIL NADU","MADURAI RURAL",2011,18,19,11,62,9,49,0
1265,"TAMIL NADU","MADURAI URBAN",2011,11,15,8,27,127,28,0
1266,"TAMIL NADU","NAGAPATTINAM",2011,31,26,9,86,9,18,0
1267,"TAMIL NADU","NAMAKKAL",2011,16,28,7,45,21,30,0
1268,"TAMIL NADU","NILGIRIS",2011,8,0,1,23,7,29,0
1269,"TAMIL NADU","PERAMBALUR",2011,19,24,7,92,17,25,0
1270,"TAMIL NADU","PUDUKOTTAI",2011,14,27,8,52,9,35,0
1271,"TAMIL NADU","RAMNATHAPURAM",2011,16,12,8,53,10,27,0
1272,"TAMIL NADU","SALEM RURAL",2011,17,26,7,56,9,29,0
1273,"TAMIL NADU","SALEM URBAN",2011,12,7,9,6,17,17,0
1274,"TAMIL NADU","SIVAGANGAI",2011,9,13,7,24,11,46,0
1275,"TAMIL NADU","THANJAVUR",2011,12,20,5,32,23,26,0
1276,"TAMIL NADU","THENI",2011,15,23,6,56,7,18,0
1277,"TAMIL NADU","THIRUNELVELI RURAL",2011,44,49,5,145,55,32,0
1278,"TAMIL NADU","THIRUNELVELI URBAN",2011,6,14,9,13,16,13,0
1279,"TAMIL NADU","THIRUVALLUR",2011,13,36,10,100,27,32,0
